team,pre_win_total,picker,over_under,priority
ATL,45.5,ben,over,2
BOS,53.5,chase,under,3
BKN,51.5,john,under,4
CHA,34.5,charles,under,3
CHI,41.5,,,
CLE,47.5,ben,over,4
DAL,48.5,john,over,2
DN,51.5,charles,under,7
DET,29.5,john,under,7
GSW,52.5,chase,over,5
HOU,23.5,ben,under,3
IND,23.5,chase,under,7
LAC,52.5,chase,under,4
LAL,44.5,ben,over,6
MEM,48.5,john,over,3
MIA,49.5,charles,over,6
MIL,52.5,john,over,6
MIN,48.5,chase,over,6
NOP,45.5,chase,over,2
NYK,38.5,john,over,5
OKC,22.5,,,
ORL,27.5,ben,over,1
PHI,50.5,chase,over,1
PHX,52.5,ben,under,7
POR,39.5,john,under,1
SAC,33.5,charles,under,5
SAS,22.5,charles,over,2
TOR,46.5,charles,over,1
UTA,23.5,charles,under,4
WAS,35.5,ben,over,5
